Episode,Epsilon
0,0.7997326602099495
1,0.7994654097581031
2,0.7991982486146063
3,0.7989311767496146
4,0.7986641941332931
5,0.7983973007358175
6,0.7981304965273729
7,0.7978637814781546
8,0.797597155558368
9,0.7973306187382281
10,0.7970641709879601
11,0.7967978122777991
12,0.7965315425779902
13,0.7962653618587884
14,0.7959992700904585
15,0.7957332672432754
16,0.795467353287524
17,0.7952015281934991
18,0.7949357919315051
19,0.7946701444718568
20,0.7944045857848786
21,0.7941391158409049
22,0.7938737346102801
23,0.7936084420633583
24,0.7933432381705038
25,0.7930781229020906
26,0.7928130962285026
27,0.7925481581201337
28,0.7922833085473876
29,0.792018547480678
30,0.7917538748904285
31,0.7914892907470723
32,0.7912247950210528
33,0.7909603876828231
34,0.7906960687028463
35,0.7904318380515952
36,0.7901676956995527
37,0.7899036416172114
38,0.7896396757750737
39,0.789375798143652
40,0.7891120086934685
41,0.7888483073950554
42,0.7885846942189545
43,0.7883211691357175
44,0.788057732115906
45,0.7877943831300915
46,0.7875311221488552
47,0.7872679491427882
48,0.7870048640824915
49,0.7867418669385757
50,0.7864789576816615
51,0.7862161362823793
52,0.7859534027113692
53,0.7856907569392811
54,0.7854281989367751
55,0.7851657286745206
56,0.7849033461231971
57,0.7846410512534939
58,0.7843788440361099
59,0.784116724441754
60,0.7838546924411447
61,0.7835927480050104
62,0.7833308911040894
63,0.7830691217091295
64,0.7828074397908884
65,0.7825458453201337
66,0.7822843382676427
67,0.7820229186042023
68,0.7817615863006092
69,0.7815003413276702
70,0.7812391836562015
71,0.780978113257029
72,0.7807171301009888
73,0.7804562341589261
74,0.7801954254016964
75,0.7799347038001647
76,0.7796740693252058
77,0.7794135219477042
78,0.779153061638554
79,0.7788926883686593
80,0.7786324021089338
81,0.7783722028303008
82,0.7781120905036935
83,0.7778520651000546
84,0.7775921265903367
85,0.7773322749455022
86,0.7770725101365228
87,0.7768128321343803
88,0.7765532409100661
89,0.776293736434581
90,0.776034318678936
91,0.7757749876141514
92,0.7755157432112574
93,0.7752565854412936
94,0.7749975142753096
95,0.7747385296843645
96,0.7744796316395272
97,0.774220820111876
98,0.7739620950724991
99,0.7737034564924944
100,0.7734449043429692
101,0.7731864385950408
102,0.7729280592198358
103,0.7726697661884907
104,0.7724115594721516
105,0.7721534390419741
106,0.7718954048691237
107,0.7716374569247753
108,0.7713795951801135
109,0.7711218196063325
110,0.7708641301746363
111,0.7706065268562382
112,0.7703490096223615
113,0.7700915784442388
114,0.7698342332931125
115,0.7695769741402346
116,0.7693198009568666
117,0.7690627137142796
118,0.7688057123837544
119,0.7685487969365814
120,0.7682919673440606
121,0.7680352235775014
122,0.7677785656082231
